Unnamed: 0,transit_timestamp,station_complex_id,station_complex,borough,payment_method,ridership,transfers,latitude,longitude,Georeference
213752,2023-11-20 06:00:00,615,New Utrecht Av ,Brooklyn,metrocard,35,0,40.626472,-73.99635,POINT (-73.99635 40.626472)
1604224,2023-10-21 16:00:00,620,Court St ,Brooklyn,metrocard,67,0,40.6941,-73.99,POINT (-73.99 40.6941)
4927666,2024-01-25 17:00:00,451,Junction Blvd ,Queens,metrocard,152,3,40.749146,-73.86953,POINT (-73.86953 40.749146)
4792787,2024-01-23 22:00:00,277,7 Av ,Manhattan,omny,333,3,40.762863,-73.981636,POINT (-73.981636 40.762863)
1828563,2023-10-24 22:00:00,441,Central Park North ,Manhattan,metrocard,1,0,40.799076,-73.95182,POINT (-73.95182 40.799076)
1106290,2023-11-16 13:00:00,324,Houston St ,Manhattan,metrocard,44,0,40.728252,-74.00536,POINT (-74.00536 40.728252)
1842561,2023-12-13 04:00:00,388,167 St ,Bronx,metrocard,8,0,40.835537,-73.9214,POINT (-73.9214 40.835537)
1438994,2023-03-20 12:00:00,R183,181 St ,Manhattan,omny,107,5,40.84950637817383,-73.93359375,POINT (-73.93359375 40.84950637817383)
11161862,2023-03-01 03:00:00,R633,Van Siclen Av ,Brooklyn,metrocard,3,0,40.66544723510742,-73.88939666748047,POINT (-73.88939666748047 40.66544723510742)
462182,2023-11-07 13:00:00,173,High St ,Brooklyn,omny,148,2,40.699337005615234,-73.99053192138672,POINT (-73.99053192138672 40.699337005615234)
6813385,2022-07-25 19:00:00,R406,East 143 St-St Mary's St ,Bronx,metrocard,22,0,40.808719635009766,-73.90765380859375,POINT (-73.90765380859375 40.808719635009766)
7195247,2024-02-27 00:00:00,22,Rector St ,Manhattan,omny,7,0,40.70722,-74.01334,POINT (-74.01334 40.70722)
10407937,2023-01-29 02:00:00,N122,Rockaway Av ,Brooklyn,omny,4,0,40.678340911865234,-73.91194915771484,POINT (-73.91194915771484 40.678340911865234)
4380917,2022-12-29 09:00:00,R515,Astoria-Ditmars Blvd ,Queens,omny,290,22,40.7750358581543,-73.91203308105469,POINT (-73.91203308105469 40.7750358581543)
2104467,2023-12-16 16:00:00,247,Bay Pkwy ,Brooklyn,metrocard,5,3,40.62077,-73.975266,POINT (-73.975266 40.62077)
513902,2023-11-24 08:00:00,85,75 St-Elderts Ln ,Queens,metrocard,6,0,40.691322,-73.86714,POINT (-73.86714 40.691322)
131399,2023-11-18 21:00:00,349,Junius St ,Brooklyn,metrocard,2,1,40.663513,-73.90245,POINT (-73.90245 40.663513)
6961993,2023-08-31 11:00:00,R730,Eastchester-Dyre Av ,Bronx,metrocard,64,1,40.888301849365234,-73.8308334350586,POINT (-73.8308334350586 40.888301849365234)
408097,2022-10-24 23:00:00,J037,121 St ,Queens,metrocard,6,2,40.70049285888672,-73.82829284667969,POINT (-73.82829284667969 40.70049285888672)
11055788,2023-04-20 08:00:00,N213,Tremont Av ,Bronx,omny,150,20,40.85041046142578,-73.90522766113281,POINT (-73.90522766113281 40.85041046142578)
7370263,2022-07-01 04:00:00,N543,Fort Hamilton Pkwy ,Brooklyn,omny,2,0,40.65078353881836,-73.97577667236328,POINT (-73.97577667236328 40.65078353881836)
4377488,2022-03-02 09:00:00,R515,Astoria-Ditmars Blvd ,Queens,omny,266,13,40.7750358581543,-73.91203308105469,POINT (-73.91203308105469 40.7750358581543)
7132185,2024-02-26 05:00:00,608,4 Av ,Brooklyn,metrocard,11,3,40.67085,-73.988304,POINT (-73.988304 40.67085)
6147637,2022-10-14 07:00:00,R125,Christopher St-Sheridan Sq ,Manhattan,metrocard,104,2,40.7334213256836,-74.0029067993164,POINT (-74.0029067993164 40.733421325683594)
97463,2023-11-18 09:00:00,450,103 St-Corona Plaza ,Queens,metrocard,29,1,40.749866,-73.8627,POINT (-73.8627 40.749866)
3262222,2022-12-03 00:00:00,R524,69 St ,Queens,omny,4,0,40.7463264465332,-73.89640045166016,POINT (-73.89640045166016 40.7463264465332)
3591301,2022-07-25 08:00:00,R247,77 St ,Manhattan,metrocard,534,16,40.77362060546875,-73.95987701416016,POINT (-73.95987701416016 40.77362060546875)
7283369,2024-02-28 06:00:00,311,86 St ,Manhattan,metrocard,10,0,40.788643,-73.97622,POINT (-73.97622 40.788643)
2089301,2023-10-28 12:00:00,187,Shepherd Av ,Brooklyn,metrocard,11,0,40.67413,-73.88075,POINT (-73.88075 40.67413)
8984217,2023-07-10 05:00:00,J005,Lorimer St ,Brooklyn,metrocard,15,0,40.7038688659668,-73.9474105834961,POINT (-73.9474105834961 40.7038688659668)
9036445,2022-10-12 18:00:00,R192,Marble Hill-225 St ,Manhattan,omny,46,3,40.87456130981445,-73.90982818603516,POINT (-73.90982818603516 40.87456130981445)
4320763,2023-01-20 11:00:00,R219,Astor Place ,Manhattan,omny,159,2,40.73005294799805,-73.99107360839844,POINT (-73.99107360839844 40.73005294799805)
595563,2022-04-24 04:00:00,N024,135 St ,Manhattan,omny,2,0,40.8178939819336,-73.94764709472656,POINT (-73.94764709472656 40.817893981933594)
2433696,2022-06-10 08:00:00,N070,34 St-Penn Station ,Manhattan,metrocard,2171,19,40.752288818359375,-73.99339294433594,POINT (-73.99339294433594 40.752288818359375)
657639,2022-11-04 00:00:00,R259,138 St-Grand Concourse ,Bronx,metrocard,7,0,40.81322479248047,-73.92984771728516,POINT (-73.92984771728516 40.81322479248047)
1637629,2023-10-22 06:00:00,147,175 St ,Manhattan,metrocard,19,0,40.84739,-73.939705,POINT (-73.939705 40.84739)
6318845,2022-02-26 02:00:00,N419,Classon Av ,Brooklyn,metrocard,1,0,40.688873291015625,-73.96006774902344,POINT (-73.96006774902344 40.688873291015625)
2531835,2023-12-22 15:00:00,180,Kingston-Throop Avs ,Brooklyn,metrocard,20,0,40.67992,-73.94086,POINT (-73.94086 40.67992)
2283289,2023-01-27 07:00:00,R513,30 Av ,Queens,metrocard,557,31,40.76678085327149,-73.92147827148438,POINT (-73.92147827148438 40.766780853271484)
203871,2023-10-02 04:00:00,383,183 St ,Bronx,metrocard,26,0,40.858406,-73.90388,POINT (-73.90388 40.858406)
905868,2022-08-18 04:00:00,N202,155 St ,Manhattan,metrocard,10,0,40.83013534545898,-73.9382095336914,POINT (-73.9382095336914 40.830135345458984)
1065841,2022-12-03 10:00:00,R283,167 St ,Bronx,metrocard,264,11,40.83553695678711,-73.92140197753906,POINT (-73.92140197753906 40.83553695678711)
9341684,2022-08-20 01:00:00,N415,Myrtle-Willoughby Avs ,Brooklyn,metrocard,5,0,40.6945686340332,-73.94904327392578,POINT (-73.94904327392578 40.6945686340332)
1817579,2022-04-01 06:00:00,R131,23 St ,Manhattan,metrocard,40,2,40.74407958984375,-73.99565887451172,POINT (-73.99565887451172 40.74407958984375)
728952,2023-10-09 13:00:00,291,Clinton-Washington Avs ,Brooklyn,metrocard,6,0,40.688087,-73.96684,POINT (-73.96684 40.688087)
2567794,2023-12-23 04:00:00,409,Spring St ,Manhattan,metrocard,1,0,40.7223,-73.99714,POINT (-73.99714 40.7223)
2440683,2023-09-16 16:00:00,R135,34 St-Penn Station ,Manhattan,metrocard,1029,17,40.75037384033203,-73.99105834960938,POINT (-73.99105834960938 40.75037384033203)
3697236,2024-01-08 10:00:00,325,Canal St ,Manhattan,metrocard,8,0,40.722855,-74.00628,POINT (-74.00628 40.722855)
3202906,2024-01-01 08:00:00,249,Avenue P ,Brooklyn,metrocard,3,0,40.608944,-73.97302,POINT (-73.97302 40.608944)
4549590,2022-06-30 10:00:00,N555,Avenue N ,Brooklyn,metrocard,70,3,40.61513900756836,-73.97419738769531,POINT (-73.97419738769531 40.61513900756836)
2201964,2023-12-18 06:00:00,358,Newkirk Av-Little Haiti ,Brooklyn,metrocard,49,0,40.63997,-73.94841,POINT (-73.94841 40.63997)
5935040,2023-04-17 07:00:00,R418,Castle Hill Av ,Bronx,metrocard,512,42,40.83425521850586,-73.8512191772461,POINT (-73.8512191772461 40.83425521850586)
4663906,2022-12-31 04:00:00,B025,Avenue U ,Brooklyn,omny,2,0,40.59930038452149,-73.9559326171875,POINT (-73.9559326171875 40.599300384521484)
1274451,2023-12-05 06:00:00,111,Seneca Av ,Queens,metrocard,3,0,40.702763,-73.90774,POINT (-73.90774 40.702763)
47378,2023-11-17 15:00:00,243,Church Av ,Brooklyn,metrocard,29,0,40.64404,-73.979675,POINT (-73.979675 40.64404)
11122775,2022-07-04 11:00:00,R197,Van Cortlandt Park-242 St ,Bronx,metrocard,69,1,40.88924789428711,-73.8985824584961,POINT (-73.8985824584961 40.88924789428711)
